Domain,Risk Level,Risk Score,Indicators,Status
zorblight.store,CRITICAL,80,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 7 found; Uses suspicious TLD: .store,analyzed
zyltherix.pro,CRITICAL,80,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found; Uses suspicious TLD: .pro,analyzed
payor-birdie-vasal.rest,CRITICAL,80,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 4 found; Uses suspicious TLD: .rest,analyzed
zylpheron.best,CRITICAL,80,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 5 found; Uses suspicious TLD: .best,analyzed
viennissimalifestyle.store,CRITICAL,80,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 5 found; Uses suspicious TLD: .store,analyzed
xn--80aaaawunbwvling8d6g.xn--p1ai,HIGH,75,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 4 found; No valid SSL certificate,analyzed
apexdrains.ca,HIGH,75,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found; No valid SSL certificate,analyzed
ban6konlbet.com,HIGH,75,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 4 found; No valid SSL certificate,analyzed
app-tria.co,HIGH,75,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found; No valid SSL certificate,analyzed
belki.band,HIGH,75,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found; No valid SSL certificate,analyzed
beastgames.ink,HIGH,75,Mentions well-known brands: 4 found; Online gambling/casino content: 2 found; Uses suspicious TLD: .ink,analyzed
ambuzen.com,HIGH,75,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 10 found; No valid SSL certificate,analyzed
cabinet-check.website,HIGH,75,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found; No valid SSL certificate,analyzed
cabinet-bills.website,HIGH,75,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found; No valid SSL certificate,analyzed
cabinetcheck.website,HIGH,75,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found; No valid SSL certificate,analyzed
chickenroadgame.ing,HIGH,75,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found; No valid SSL certificate,analyzed
dravylith.art,HIGH,75,Contains high-risk phishing phrases: 2 found; Mentions well-known brands: 3 found; Uses suspicious TLD: .art,analyzed
kongwin.ink,HIGH,75,Mentions well-known brands: 5 found; Online gambling/casino content: 1 found; Uses suspicious TLD: .ink,analyzed
lareservapc.com,HIGH,75,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 5 found; No valid SSL certificate,analyzed
lottmaxx.ink,HIGH,75,Mentions well-known brands: 5 found; Online gambling/casino content: 1 found; Uses suspicious TLD: .ink,analyzed
luckyzoneau.xyz,HIGH,75,Mentions well-known brands: 5 found; Online gambling/casino content: 1 found; Uses suspicious TLD: .xyz,analyzed
lasoong.vn,HIGH,75,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 4 found; No valid SSL certificate,analyzed
mdesign-maierhofer.store,HIGH,75,Contains 1 iframe(s); Mentions well-known brands: 3 found; Uses urgency/scarcity tactics: 1 found; Uses suspicious TLD: .store,analyzed
mnsurenavigator.com,HIGH,75,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 2 found; No valid SSL certificate,analyzed
mrvl77-lover.com,HIGH,75,Mentions well-known brands: 6 found; Contains financial scam keywords: 1 found; Redirects to different domain: marvel77hero.com,analyzed
rsrkg.com,HIGH,75,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found; No valid SSL certificate,analyzed
rus-iks.ru,HIGH,75,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 6 found; No valid SSL certificate,analyzed
gursimrandecoration.in,HIGH,75,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 8 found; No valid SSL certificate,analyzed
sharpentry.fr,HIGH,75,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 5 found; No valid SSL certificate,analyzed
professionalengineersontario.org,HIGH,75,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 6 found; No valid SSL certificate,analyzed
zovarixi.sbs,HIGH,75,Contains high-risk phishing phrases: 2 found; Mentions well-known brands: 7 found; Uses suspicious TLD: .sbs,analyzed
pousoobrassociaisslz.cloud,HIGH,70,Contains obfuscated JavaScript; Mentions well-known brands: 1 found; Uses urgency/scarcity tactics: 1 found,analyzed
allibyaaldawlia.ly,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 4 found,analyzed
artemest.one,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 6 found,analyzed
amigolawn.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 13 found,analyzed
bills-check.website,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found,analyzed
billscontrol.website,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found,analyzed
bajkowawyobraznia.pl,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found,analyzed
bihosphere.org,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 10 found,analyzed
boffi.one,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 6 found,analyzed
carvingmates.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found,analyzed
chickenroad-in.ing,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
chicken-road-slot.ing,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
cpmengco.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 2 found,analyzed
check-cabinet-bills.website,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found,analyzed
ebbether.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found,analyzed
egsdt.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
fnndirect.pics,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 6 found,analyzed
gelenkverbesserung-de.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 3 found,analyzed
gelenkverbesserung-at.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 3 found,analyzed
ghcoffeetrade.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found,analyzed
disimprosolutions.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 6 found,analyzed
hr-capitalfin.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found,analyzed
famiasongcong.vn,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 4 found,analyzed
hglhg.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
iboss.website,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 4 found,analyzed
iyonp.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
giveaway-stable.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found,analyzed
id-moda.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found,analyzed
jhfdd.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
jhepfoundationindia.org,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 7 found,analyzed
mandarin.us.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 5 found,analyzed
lkjhv.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
morningdownloadnews.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 4 found,analyzed
ndx-preman69.life,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
kassamacornflour.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 5 found,analyzed
nexus-bf.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 5 found,analyzed
lapazyates.com.mx,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 3 found,analyzed
on3x.pp.ua,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 2 found,analyzed
old-bsilkroad.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 5 found,analyzed
plinko-game-uk.ing,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
poprawa-ruchu-pl.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 3 found,analyzed
plinkogame-pt.ing,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
pepeport.org,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 3 found,analyzed
riftech.fr,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 5 found,analyzed
peppeport.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 3 found,analyzed
senam603.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 5 found,analyzed
studioexnovo.me,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 12 found,analyzed
sweepapp.io,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 7 found,analyzed
mfcgulf.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 7 found,analyzed
tobactos.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 2 found,analyzed
usdtguard.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 9 found,analyzed
valkyrievanguard.com,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found,analyzed
vintage-clothes.ie,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 2 found,analyzed
vfghp.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
vanish-trade.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 1 found,analyzed
vtsyt.com,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
xerx.uk,HIGH,65,Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found,analyzed
timelesselegancebyennali.nl,HIGH,65,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 4 found,analyzed
7k-772.casino,HIGH,60,Mentions well-known brands: 1 found; No valid SSL certificate; Uses suspicious TLD: .casino,analyzed
ball000on.ink,HIGH,60,Mentions well-known brands: 5 found; No valid SSL certificate; Uses suspicious TLD: .ink,analyzed
akuwyspaskarbow.pl,HIGH,60,Contains login form; Mentions well-known brands: 2 found; No valid SSL certificate,analyzed
loancheckindia.com,HIGH,60,Contains high-risk phishing phrases: 1 found; Mentions well-known brands: 3 found,analyzed
nicekicks.fit,HIGH,60,Contains high-risk phishing phrases: 1 found; Mentions well-known brands: 3 found,analyzed
queengbr.pics,HIGH,60,Mentions well-known brands: 5 found; Online gambling/casino content: 1 found,analyzed
fermedenavecainc.com,HIGH,60,Contains high-risk phishing phrases: 1 found; Mentions well-known brands: 3 found,analyzed
chromobrands.com,MEDIUM,55,Mentions well-known brands: 6 found; Contains financial scam keywords: 1 found,analyzed
stocindiahkop.click,MEDIUM,55,Mentions well-known brands: 2 found; Contains financial scam keywords: 1 found,analyzed
blendfeel.biz,MEDIUM,50,Mentions well-known brands: 3 found; Uses suspicious TLD: .biz,analyzed
centriifugenews.blog,MEDIUM,50,Mentions well-known brands: 4 found; Uses suspicious TLD: .blog,analyzed
check-bills-cabinet.online,MEDIUM,50,Mentions well-known brands: 1 found; Uses suspicious TLD: .online,analyzed
faelxith.xyz,MEDIUM,50,Mentions well-known brands: 1 found; Uses suspicious TLD: .xyz,analyzed
erickrenatopsi.com.br,MEDIUM,50,Contains JavaScript redirects; Mentions well-known brands: 4 found,analyzed
glimmexar.art,MEDIUM,50,Mentions well-known brands: 1 found; Uses suspicious TLD: .art,analyzed
flexbucks.site,MEDIUM,50,Mentions well-known brands: 3 found; Uses suspicious TLD: .site,analyzed
kohinoorwakadprojects.in,MEDIUM,50,Mentions well-known brands: 3 found; Uses urgency/scarcity tactics: 1 found,analyzed
mhj333.live,MEDIUM,50,Mentions well-known brands: 1 found; Uses suspicious TLD: .live,analyzed
mhj333.blog,MEDIUM,50,Mentions well-known brands: 1 found; Uses suspicious TLD: .blog,analyzed
melarino.icu,MEDIUM,50,Mentions well-known brands: 6 found; Uses suspicious TLD: .icu,analyzed
loanalert.in,MEDIUM,50,Mentions well-known brands: 3 found; Uses urgency/scarcity tactics: 1 found,analyzed
myintent.in,MEDIUM,50,Mentions well-known brands: 4 found; Uses urgency/scarcity tactics: 1 found,analyzed
newyours.com,MEDIUM,50,Mentions well-known brands: 5 found; Uses urgency/scarcity tactics: 1 found,analyzed
playingmarket.online,MEDIUM,50,Mentions well-known brands: 5 found; Uses suspicious TLD: .online,analyzed
nona-nitres-minge.site,MEDIUM,50,Mentions well-known brands: 3 found; Uses suspicious TLD: .site,analyzed
powerwingame.online,MEDIUM,50,Mentions well-known brands: 5 found; Uses suspicious TLD: .online,analyzed
rapedlaymenbuba.fun,MEDIUM,50,Mentions well-known brands: 1 found; Uses suspicious TLD: .fun,analyzed
rmktelecom.store,MEDIUM,50,Mentions well-known brands: 1 found; Uses suspicious TLD: .store,analyzed
quixplendor.online,MEDIUM,50,Mentions well-known brands: 11 found; Uses suspicious TLD: .online,analyzed
shaqyrym.online,MEDIUM,50,Mentions well-known brands: 6 found; Uses suspicious TLD: .online,analyzed
sorryuaredrrrrned.sbs,MEDIUM,50,Mentions well-known brands: 1 found; Uses suspicious TLD: .sbs,analyzed
phexalith.site,MEDIUM,50,Mentions well-known brands: 4 found; Uses suspicious TLD: .site,analyzed
thryndrake.site,MEDIUM,50,Mentions well-known brands: 6 found; Uses suspicious TLD: .site,analyzed
veles-systems.online,MEDIUM,50,Mentions well-known brands: 1 found; Uses suspicious TLD: .online,analyzed
worldneh.top,MEDIUM,50,Mentions well-known brands: 5 found; Uses suspicious TLD: .top,analyzed
zefimora.icu,MEDIUM,50,Mentions well-known brands: 1 found; Uses suspicious TLD: .icu,analyzed
vaterixa.icu,MEDIUM,50,Mentions well-known brands: 3 found; Uses suspicious TLD: .icu,analyzed
amlpro.app,MEDIUM,45,Mentions well-known brands: 1 found; No valid SSL certificate,analyzed
jggtoday.pics,MEDIUM,45,Mentions well-known brands: 5 found; No valid SSL certificate,analyzed
nffkvv365.pics,MEDIUM,45,Mentions well-known brands: 5 found; No valid SSL certificate,analyzed
sweatbonanzaa.life,MEDIUM,45,Mentions well-known brands: 6 found; No valid SSL certificate,analyzed
